state,sex,age_group,population
AK,All Sexes,25-34 years,115775
AK,Female,25-34 years,54561
AK,Male,25-34 years,61214
AK,All Sexes,Under 25 years,261043
AK,Female,Under 25 years,119996
AK,Male,Under 25 years,141047
AK,All Sexes,35-44 years,92056
AK,Female,35-44 years,44028
AK,Male,35-44 years,48028
AK,All Sexes,45-54 years,99414
AK,Female,45-54 years,47495
AK,Male,45-54 years,51919
AK,All Sexes,55-64 years,94149
AK,Female,55-64 years,45255
AK,Male,55-64 years,48894
AK,All Sexes,65-74 years,46577
AK,Female,65-74 years,22581
AK,Male,65-74 years,23996
AK,All Sexes,75-84 years,16759
AK,Female,75-84 years,8658
AK,Male,75-84 years,8101
AK,All Sexes,85 years and over,5969
AK,Female,85 years and over,3872
AK,Male,85 years and over,2097
AK,All Sexes,Total,731742
AK,Female,Total,346446
AK,Male,Total,385296
AL,All Sexes,25-34 years,626564
AL,Female,25-34 years,318401
AL,Male,25-34 years,308163
AL,All Sexes,Under 25 years,1543881
AL,Female,Under 25 years,741311
AL,Male,Under 25 years,802570
AL,All Sexes,35-44 years,606216
AL,Female,35-44 years,310294
AL,Male,35-44 years,295922
AL,All Sexes,45-54 years,656639
AL,Female,45-54 years,337729
AL,Male,45-54 years,318910
AL,All Sexes,55-64 years,629595
AL,Female,55-64 years,329399
AL,Male,55-64 years,300196
AL,All Sexes,65-74 years,434510
AL,Female,65-74 years,234185
AL,Male,65-74 years,200325
AL,All Sexes,75-84 years,225663
AL,Female,75-84 years,131937
AL,Male,75-84 years,93726
AL,All Sexes,85 years and over,82221
AL,Female,85 years and over,55840
AL,Male,85 years and over,26381
AL,All Sexes,Total,4805289
AL,Female,Total,2459096
AL,Male,Total,2346193
AR,All Sexes,25-34 years,385316
AR,Female,25-34 years,192734
AR,Male,25-34 years,192582
AR,All Sexes,Under 25 years,973657
AR,Female,Under 25 years,465523
AR,Male,Under 25 years,508134
AR,All Sexes,35-44 years,367023
AR,Female,35-44 years,184623
AR,Male,35-44 years,182400
AR,All Sexes,45-54 years,385891
AR,Female,45-54 years,195982
AR,Male,45-54 years,189909
AR,All Sexes,55-64 years,370374
AR,Female,55-64 years,192356
AR,Male,55-64 years,178018
AR,All Sexes,65-74 years,269411
AR,Female,65-74 years,143307
AR,Male,65-74 years,126104
AR,All Sexes,75-84 years,140847
AR,Female,75-84 years,79638
AR,Male,75-84 years,61209
AR,All Sexes,85 years and over,54729
AR,Female,85 years and over,36391
AR,Male,85 years and over,18338
AR,All Sexes,Total,2947248
AR,Female,Total,1490554
AR,Male,Total,1456694
AZ,All Sexes,25-34 years,899711
AZ,Female,25-34 years,435946
AZ,Male,25-34 years,463765
AZ,All Sexes,Under 25 years,2238909
AZ,Female,Under 25 years,1066033
AZ,Male,Under 25 years,1172876
AZ,All Sexes,35-44 years,835719
AZ,Female,35-44 years,414008
AZ,Male,35-44 years,421711
AZ,All Sexes,45-54 years,840159
AZ,Female,45-54 years,423687
AZ,Male,45-54 years,416472
AZ,All Sexes,55-64 years,794895
AZ,Female,55-64 years,417638
AZ,Male,55-64 years,377257
AZ,All Sexes,65-74 years,620856
AZ,Female,65-74 years,328326
AZ,Male,65-74 years,292530
AZ,All Sexes,75-84 years,326244
AZ,Female,75-84 years,173952
AZ,Male,75-84 years,152292
AZ,All Sexes,85 years and over,123051
AZ,Female,85 years and over,75848
AZ,Male,85 years and over,47203
AZ,All Sexes,Total,6679544
AZ,Female,Total,3335438
AZ,Male,Total,3344106
CA,All Sexes,25-34 years,5701167
CA,Female,25-34 years,2776078
CA,Male,25-34 years,2925089
CA,All Sexes,Under 25 years,12813217
CA,Female,Under 25 years,6097486
CA,Male,Under 25 years,6715731
CA,All Sexes,35-44 years,5159031
CA,Female,35-44 years,2570936
CA,Male,35-44 years,2588095
CA,All Sexes,45-54 years,5215194
CA,Female,45-54 years,2617987
CA,Male,45-54 years,2597207
CA,All Sexes,55-64 years,4502038
CA,Female,55-64 years,2324247
CA,Male,55-64 years,2177791
CA,All Sexes,65-74 years,2822406
CA,Female,65-74 years,1509555
CA,Male,65-74 years,1312851
CA,All Sexes,75-84 years,1475866
CA,Female,75-84 years,833151
CA,Male,75-84 years,642715
CA,All Sexes,85 years and over,678710
CA,Female,85 years and over,437219
CA,Male,85 years and over,241491
CA,All Sexes,Total,38367629
CA,Female,Total,19166659
CA,Male,Total,19200970
CO,All Sexes,25-34 years,798010
CO,Female,25-34 years,385278
CO,Male,25-34 years,412732
CO,All Sexes,Under 25 years,1732814
CO,Female,Under 25 years,822565
CO,Male,Under 25 years,910249
CO,All Sexes,35-44 years,724366
CO,Female,35-44 years,352301
CO,Male,35-44 years,372065
CO,All Sexes,45-54 years,718538
CO,Female,45-54 years,359942
CO,Male,45-54 years,358596
CO,All Sexes,55-64 years,671396
CO,Female,55-64 years,342996
CO,Male,55-64 years,328400
CO,All Sexes,65-74 years,409242
CO,Female,65-74 years,213138
CO,Male,65-74 years,196104
CO,All Sexes,75-84 years,190638
CO,Female,75-84 years,106270
CO,Male,75-84 years,84368
CO,All Sexes,85 years and over,78160
CO,Female,85 years and over,51038
CO,Male,85 years and over,27122
CO,All Sexes,Total,5323164
CO,Female,Total,2633528
CO,Male,Total,2689636
CT,All Sexes,25-34 years,438471
CT,Female,25-34 years,217681
CT,Male,25-34 years,220790
CT,All Sexes,Under 25 years,1096857
CT,Female,Under 25 years,521121
CT,Male,Under 25 years,575736
CT,All Sexes,35-44 years,439606
CT,Female,35-44 years,224703
CT,Male,35-44 years,214903
CT,All Sexes,45-54 years,545977
CT,Female,45-54 years,280925
CT,Male,45-54 years,265052
CT,All Sexes,55-64 years,487052
CT,Female,55-64 years,251523
CT,Male,55-64 years,235529
CT,All Sexes,65-74 years,303959
CT,Female,65-74 years,162847
CT,Male,65-74 years,141112
CT,All Sexes,75-84 years,163137
CT,Female,75-84 years,94589
CT,Male,75-84 years,68548
CT,All Sexes,85 years and over,87927
CT,Female,85 years and over,59327
CT,Male,85 years and over,28600
CT,All Sexes,Total,3562986
CT,Female,Total,1812716
CT,Male,Total,1750270
DE,All Sexes,25-34 years,122685
DE,Female,25-34 years,61588
DE,Male,25-34 years,61097
DE,All Sexes,Under 25 years,286575
DE,Female,Under 25 years,137922
DE,Male,Under 25 years,148653
DE,All Sexes,35-44 years,110467
DE,Female,35-44 years,56754
DE,Male,35-44 years,53713
DE,All Sexes,45-54 years,129801
DE,Female,45-54 years,67332
DE,Male,45-54 years,62469
DE,All Sexes,55-64 years,124129
DE,Female,55-64 years,65930
DE,Male,55-64 years,58199
DE,All Sexes,65-74 years,90854
DE,Female,65-74 years,48722
DE,Male,65-74 years,42132
DE,All Sexes,75-84 years,44977
DE,Female,75-84 years,25204
DE,Male,75-84 years,19773
DE,All Sexes,85 years and over,18002
DE,Female,85 years and over,11622
DE,Male,85 years and over,6380
DE,All Sexes,Total,927490
DE,Female,Total,475074
DE,Male,Total,452416
FL,All Sexes,25-34 years,2532527
FL,Female,25-34 years,1254912
FL,Male,25-34 years,1277615
FL,All Sexes,Under 25 years,5704959
FL,Female,Under 25 years,2716909
FL,Male,Under 25 years,2988050
FL,All Sexes,35-44 years,2434272
FL,Female,35-44 years,1227496
FL,Male,35-44 years,1206776
FL,All Sexes,45-54 years,2744569
FL,Female,45-54 years,1398318
FL,Male,45-54 years,1346251
FL,All Sexes,55-64 years,2584694
FL,Female,55-64 years,1365908
FL,Male,55-64 years,1218786
FL,All Sexes,65-74 years,2084139
FL,Female,65-74 years,1114272
FL,Male,65-74 years,969867
FL,All Sexes,75-84 years,1198775
FL,Female,75-84 years,656923
FL,Male,75-84 years,541852
FL,All Sexes,85 years and over,514711
FL,Female,85 years and over,322646
FL,Male,85 years and over,192065
FL,All Sexes,Total,19798646
FL,Female,Total,10057384
FL,Male,Total,9741262
GA,All Sexes,25-34 years,1378980
GA,Female,25-34 years,698151
GA,Male,25-34 years,680829
GA,All Sexes,Under 25 years,3434438
GA,Female,Under 25 years,1644319
GA,Male,Under 25 years,1790119
GA,All Sexes,35-44 years,1375596
GA,Female,35-44 years,708864
GA,Male,35-44 years,666732
GA,All Sexes,45-54 years,1403866
GA,Female,45-54 years,720002
GA,Male,45-54 years,683864
GA,All Sexes,55-64 years,1184725
GA,Female,55-64 years,623702
GA,Male,55-64 years,561023
GA,All Sexes,65-74 years,765556
GA,Female,65-74 years,413315
GA,Male,65-74 years,352241
GA,All Sexes,75-84 years,354591
GA,Female,75-84 years,206934
GA,Male,75-84 years,147657
GA,All Sexes,85 years and over,126148
GA,Female,85 years and over,86142
GA,Male,85 years and over,40006
GA,All Sexes,Total,10023900
GA,Female,Total,5101429
GA,Male,Total,4922471
HI,All Sexes,25-34 years,203249
HI,Female,25-34 years,97328
HI,Male,25-34 years,105921
HI,All Sexes,Under 25 years,432564
HI,Female,Under 25 years,201518
HI,Male,Under 25 years,231046
HI,All Sexes,35-44 years,176240
HI,Female,35-44 years,86766
HI,Male,35-44 years,89474
HI,All Sexes,45-54 years,182450
HI,Female,45-54 years,91134
HI,Male,45-54 years,91316
HI,All Sexes,55-64 years,183392
HI,Female,55-64 years,93196
HI,Male,55-64 years,90196
HI,All Sexes,65-74 years,126472
HI,Female,65-74 years,65368
HI,Male,65-74 years,61104
HI,All Sexes,75-84 years,63545
HI,Female,75-84 years,36134
HI,Male,75-84 years,27411
HI,All Sexes,85 years and over,37597
HI,Female,85 years and over,24195
HI,Male,85 years and over,13402
HI,All Sexes,Total,1405509
HI,Female,Total,695639
HI,Male,Total,709870
IA,All Sexes,25-34 years,391277
IA,Female,25-34 years,190976
IA,Male,25-34 years,200301
IA,All Sexes,Under 25 years,1023823
IA,Female,Under 25 years,486297
IA,Male,Under 25 years,537526
IA,All Sexes,35-44 years,364624
IA,Female,35-44 years,179993
IA,Male,35-44 years,184631
IA,All Sexes,45-54 years,406148
IA,Female,45-54 years,202574
IA,Male,45-54 years,203574
IA,All Sexes,55-64 years,406010
IA,Female,55-64 years,204329
IA,Male,55-64 years,201681
IA,All Sexes,65-74 years,259860
IA,Female,65-74 years,135783
IA,Male,65-74 years,124077
IA,All Sexes,75-84 years,153198
IA,Female,75-84 years,87554
IA,Male,75-84 years,65644
IA,All Sexes,85 years and over,77723
IA,Female,85 years and over,52169
IA,Male,85 years and over,25554
IA,All Sexes,Total,3082663
IA,Female,Total,1539675
IA,Male,Total,1542988
ID,All Sexes,25-34 years,214278
ID,Female,25-34 years,105603
ID,Male,25-34 years,108675
ID,All Sexes,Under 25 years,576134
ID,Female,Under 25 years,273917
ID,Male,Under 25 years,302217
ID,All Sexes,35-44 years,200434
ID,Female,35-44 years,99044
ID,Male,35-44 years,101390
ID,All Sexes,45-54 years,199784
ID,Female,45-54 years,100025
ID,Male,45-54 years,99759
ID,All Sexes,55-64 years,199764
ID,Female,55-64 years,101685
ID,Male,55-64 years,98079
ID,All Sexes,65-74 years,139140
ID,Female,65-74 years,70732
ID,Male,65-74 years,68408
ID,All Sexes,75-84 years,67595
ID,Female,75-84 years,36434
ID,Male,75-84 years,31161
ID,All Sexes,85 years and over,26611
ID,Female,85 years and over,16455
ID,Male,85 years and over,10156
ID,All Sexes,Total,1623740
ID,Female,Total,803895
ID,Male,Total,819845
IL,All Sexes,25-34 years,1780279
IL,Female,25-34 years,884049
IL,Male,25-34 years,896230
IL,All Sexes,Under 25 years,4145181
IL,Female,Under 25 years,1985451
IL,Male,Under 25 years,2159730
IL,All Sexes,35-44 years,1672366
IL,Female,35-44 years,838202
IL,Male,35-44 years,834164
IL,All Sexes,45-54 years,1768455
IL,Female,45-54 years,896183
IL,Male,45-54 years,872272
IL,All Sexes,55-64 years,1613087
IL,Female,55-64 years,832752
IL,Male,55-64 years,780335
IL,All Sexes,65-74 years,1000237
IL,Female,65-74 years,537126
IL,Male,65-74 years,463111
IL,All Sexes,75-84 years,535327
IL,Female,75-84 years,311262
IL,Male,75-84 years,224065
IL,All Sexes,85 years and over,248533
IL,Female,85 years and over,167980
IL,Male,85 years and over,80553
IL,All Sexes,Total,12763465
IL,Female,Total,6453005
IL,Male,Total,6310460
IN,All Sexes,25-34 years,845708
IN,Female,25-34 years,421491
IN,Male,25-34 years,424217
IN,All Sexes,Under 25 years,2198737
IN,Female,Under 25 years,1048618
IN,Male,Under 25 years,1150119
IN,All Sexes,35-44 years,822044
IN,Female,35-44 years,410997
IN,Male,35-44 years,411047
IN,All Sexes,45-54 years,891285
IN,Female,45-54 years,449323
IN,Male,45-54 years,441962
IN,All Sexes,55-64 years,840327
