race,age_group,state,population
Hispanic or Latino, 85 years and over,Alabama,88717
Hispanic or Latino, 85 years and over,Alaska,6665
Hispanic or Latino, 85 years and over,Arizona,126376
Hispanic or Latino, 85 years and over,Arkansas,58159
Hispanic or Latino, 85 years and over,California,609015
Hispanic or Latino, 85 years and over,Colorado,80231
Hispanic or Latino, 85 years and over,Connecticut,88053
Hispanic or Latino, 85 years and over,Delaware,19333
Hispanic or Latino, 85 years and over,District of Columbia,11665
Hispanic or Latino, 85 years and over,Florida,482896
Hispanic or Latino, 85 years and over,Georgia,142473
Hispanic or Latino, 85 years and over,Hawaii,40483
Hispanic or Latino, 85 years and over,Idaho,28544
Hispanic or Latino, 85 years and over,Illinois,252134
Hispanic or Latino, 85 years and over,Indiana,128161
Hispanic or Latino, 85 years and over,Iowa,78179
Hispanic or Latino, 85 years and over,Kansas,63634
Hispanic or Latino, 85 years and over,Kentucky,79587
Hispanic or Latino, 85 years and over,Louisiana,78563
Hispanic or Latino, 85 years and over,Maine,33203
Hispanic or Latino, 85 years and over,Maryland,114839
Hispanic or Latino, 85 years and over,Massachusetts,154524
Hispanic or Latino, 85 years and over,Michigan,210570
Hispanic or Latino, 85 years and over,Minnesota,120559
Hispanic or Latino, 85 years and over,Mississippi,51673
Hispanic or Latino, 85 years and over,Missouri,130047
Hispanic or Latino, 85 years and over,Montana,22426
Hispanic or Latino, 85 years and over,Nebraska,42209
Hispanic or Latino, 85 years and over,Nevada,38673
Hispanic or Latino, 85 years and over,New Hampshire,30124
Hispanic or Latino, 85 years and over,New Jersey,185628
Hispanic or Latino, 85 years and over,New Mexico,27602
Hispanic or Latino, 85 years and over,New York,413299
Hispanic or Latino, 85 years and over,North Carolina,182143
Hispanic or Latino, 85 years and over,North Dakota,18698
Hispanic or Latino, 85 years and over,Ohio,253128
Hispanic or Latino, 85 years and over,Oklahoma,71561
Hispanic or Latino, 85 years and over,Oregon,81655
Hispanic or Latino, 85 years and over,Pennsylvania,328690
Hispanic or Latino, 85 years and over,Rhode Island,26778
Hispanic or Latino, 85 years and over,South Carolina,87670
Hispanic or Latino, 85 years and over,South Dakota,20847
Hispanic or Latino, 85 years and over,Tennessee,118483
Hispanic or Latino, 85 years and over,Texas,313223
Hispanic or Latino, 85 years and over,United States,499028
Hispanic or Latino, 85 years and over,Utah,35931
Hispanic or Latino, 85 years and over,Vermont,14267
Hispanic or Latino, 85 years and over,Virginia,147991
Hispanic or Latino, 85 years and over,Washington,129651
Hispanic or Latino, 85 years and over,West Virginia,39539
Hispanic or Latino, 85 years and over,Wisconsin,126749
Hispanic or Latino, 85 years and over,Wyoming,10227
Hispanic or Latino,25-34 years,Alabama,610431
Hispanic or Latino,25-34 years,Alaska,108577
Hispanic or Latino,25-34 years,Arizona,626811
Hispanic or Latino,25-34 years,Arkansas,360841
Hispanic or Latino,25-34 years,California,3525816
Hispanic or Latino,25-34 years,Colorado,692820
Hispanic or Latino,25-34 years,Connecticut,351639
Hispanic or Latino,25-34 years,Delaware,114901
Hispanic or Latino,25-34 years,District of Columbia,146849
Hispanic or Latino,25-34 years,Florida,1964892
Hispanic or Latino,25-34 years,Georgia,1317604
Hispanic or Latino,25-34 years,Hawaii,177131
Hispanic or Latino,25-34 years,Idaho,196087
Hispanic or Latino,25-34 years,Illinois,1430857
Hispanic or Latino,25-34 years,Indiana,808452
Hispanic or Latino,25-34 years,Iowa,367726
Hispanic or Latino,25-34 years,Kansas,330011
Hispanic or Latino,25-34 years,Kentucky,557708
Hispanic or Latino,25-34 years,Louisiana,626047
Hispanic or Latino,25-34 years,Maine,156464
Hispanic or Latino,25-34 years,Maryland,738098
Hispanic or Latino,25-34 years,Massachusetts,845658
Hispanic or Latino,25-34 years,Michigan,1219149
Hispanic or Latino,25-34 years,Minnesota,711892
Hispanic or Latino,25-34 years,Mississippi,377726
Hispanic or Latino,25-34 years,Missouri,782296
Hispanic or Latino,25-34 years,Montana,130081
Hispanic or Latino,25-34 years,Nebraska,223121
Hispanic or Latino,25-34 years,Nevada,301703
Hispanic or Latino,25-34 years,New Hampshire,159814
Hispanic or Latino,25-34 years,New Jersey,876169
Hispanic or Latino,25-34 years,New Mexico,135929
Hispanic or Latino,25-34 years,New York,2264846
Hispanic or Latino,25-34 years,North Carolina,1251614
Hispanic or Latino,25-34 years,North Dakota,108768
Hispanic or Latino,25-34 years,Ohio,1471302
Hispanic or Latino,25-34 years,Oklahoma,475290
Hispanic or Latino,25-34 years,Oregon,504472
Hispanic or Latino,25-34 years,Pennsylvania,1538753
Hispanic or Latino,25-34 years,Rhode Island,117696
Hispanic or Latino,25-34 years,South Carolina,627862
Hispanic or Latino,25-34 years,South Dakota,109899
Hispanic or Latino,25-34 years,Tennessee,871770
Hispanic or Latino,25-34 years,Texas,2482200
Hispanic or Latino,25-34 years,United States,9429166
Hispanic or Latino,25-34 years,Utah,394013
Hispanic or Latino,25-34 years,Vermont,71884
Hispanic or Latino,25-34 years,Virginia,1058478
Hispanic or Latino,25-34 years,Washington,990111
Hispanic or Latino,25-34 years,West Virginia,210396
Hispanic or Latino,25-34 years,Wisconsin,677255
Hispanic or Latino,25-34 years,Wyoming,68699
Hispanic or Latino,35-44 years,Alabama,559956
Hispanic or Latino,35-44 years,Alaska,87506
Hispanic or Latino,35-44 years,Arizona,572544
Hispanic or Latino,35-44 years,Arkansas,334973
Hispanic or Latino,35-44 years,California,3085266
Hispanic or Latino,35-44 years,Colorado,602573
Hispanic or Latino,35-44 years,Connecticut,334351
Hispanic or Latino,35-44 years,Delaware,97423
Hispanic or Latino,35-44 years,District of Columbia,92011
Hispanic or Latino,35-44 years,Florida,1728619
Hispanic or Latino,35-44 years,Georgia,1210936
Hispanic or Latino,35-44 years,Hawaii,160768
Hispanic or Latino,35-44 years,Idaho,190556
Hispanic or Latino,35-44 years,Illinois,1306928
Hispanic or Latino,35-44 years,Indiana,751268
Hispanic or Latino,35-44 years,Iowa,353512
Hispanic or Latino,35-44 years,Kansas,308979
Hispanic or Latino,35-44 years,Kentucky,526738
Hispanic or Latino,35-44 years,Louisiana,546015
Hispanic or Latino,35-44 years,Maine,149115
Hispanic or Latino,35-44 years,Maryland,668372
Hispanic or Latino,35-44 years,Massachusetts,718657
Hispanic or Latino,35-44 years,Michigan,1093068
Hispanic or Latino,35-44 years,Minnesota,664891
Hispanic or Latino,35-44 years,Mississippi,349169
Hispanic or Latino,35-44 years,Missouri,707261
Hispanic or Latino,35-44 years,Montana,121086
Hispanic or Latino,35-44 years,Nebraska,210491
Hispanic or Latino,35-44 years,Nevada,274935
Hispanic or Latino,35-44 years,New Hampshire,146912
Hispanic or Latino,35-44 years,New Jersey,857027
Hispanic or Latino,35-44 years,New Mexico,119662
Hispanic or Latino,35-44 years,New York,1895559
Hispanic or Latino,35-44 years,North Carolina,1142373
Hispanic or Latino,35-44 years,North Dakota,86640
Hispanic or Latino,35-44 years,Ohio,1326610
Hispanic or Latino,35-44 years,Oklahoma,432618
Hispanic or Latino,35-44 years,Oregon,479418
Hispanic or Latino,35-44 years,Pennsylvania,1361341
Hispanic or Latino,35-44 years,Rhode Island,100707
Hispanic or Latino,35-44 years,South Carolina,565451
Hispanic or Latino,35-44 years,South Dakota,99249
Hispanic or Latino,35-44 years,Tennessee,782721
Hispanic or Latino,35-44 years,Texas,2287224
Hispanic or Latino,35-44 years,United States,8587112
Hispanic or Latino,35-44 years,Utah,372935
Hispanic or Latino,35-44 years,Vermont,68857
Hispanic or Latino,35-44 years,Virginia,968620
Hispanic or Latino,35-44 years,Washington,866167
Hispanic or Latino,35-44 years,West Virginia,212349
Hispanic or Latino,35-44 years,Wisconsin,645620
Hispanic or Latino,35-44 years,Wyoming,64749
Hispanic or Latino,45-54 years,Alabama,606188
Hispanic or Latino,45-54 years,Alaska,83202
Hispanic or Latino,45-54 years,Arizona,602564
Hispanic or Latino,45-54 years,Arkansas,344043
Hispanic or Latino,45-54 years,California,3197573
Hispanic or Latino,45-54 years,Colorado,574894
Hispanic or Latino,45-54 years,Connecticut,424004
Hispanic or Latino,45-54 years,Delaware,112427
Hispanic or Latino,45-54 years,District of Columbia,67065
Hispanic or Latino,45-54 years,Florida,1970315
Hispanic or Latino,45-54 years,Georgia,1294071
Hispanic or Latino,45-54 years,Hawaii,157556
Hispanic or Latino,45-54 years,Idaho,177816
Hispanic or Latino,45-54 years,Illinois,1375633
Hispanic or Latino,45-54 years,Indiana,791005
Hispanic or Latino,45-54 years,Iowa,352536
Hispanic or Latino,45-54 years,Kansas,300489
Hispanic or Latino,45-54 years,Kentucky,559596
Hispanic or Latino,45-54 years,Louisiana,537613
Hispanic or Latino,45-54 years,Maine,177897
Hispanic or Latino,45-54 years,Maryland,744842
Hispanic or Latino,45-54 years,Massachusetts,827805
Hispanic or Latino,45-54 years,Michigan,1236203
Hispanic or Latino,45-54 years,Minnesota,660610
Hispanic or Latino,45-54 years,Mississippi,358484
Hispanic or Latino,45-54 years,Missouri,725572
Hispanic or Latino,45-54 years,Montana,116477
Hispanic or Latino,45-54 years,Nebraska,198841
Hispanic or Latino,45-54 years,Nevada,289678
Hispanic or Latino,45-54 years,New Hampshire,184456
Hispanic or Latino,45-54 years,New Jersey,998027
Hispanic or Latino,45-54 years,New Mexico,125293
Hispanic or Latino,45-54 years,New York,2085236
Hispanic or Latino,45-54 years,North Carolina,1269823
Hispanic or Latino,45-54 years,North Dakota,77833
Hispanic or Latino,45-54 years,Ohio,1439836
Hispanic or Latino,45-54 years,Oklahoma,419438
Hispanic or Latino,45-54 years,Oregon,453847
Hispanic or Latino,45-54 years,Pennsylvania,1550019
Hispanic or Latino,45-54 years,Rhode Island,120277
Hispanic or Latino,45-54 years,South Carolina,614545
Hispanic or Latino,45-54 years,South Dakota,93984
Hispanic or Latino,45-54 years,Tennessee,845562
Hispanic or Latino,45-54 years,Texas,2251614
Hispanic or Latino,45-54 years,United States,7025565
Hispanic or Latino,45-54 years,Utah,276669
Hispanic or Latino,45-54 years,Vermont,79539
Hispanic or Latino,45-54 years,Virginia,1029626
Hispanic or Latino,45-54 years,Washington,837719
Hispanic or Latino,45-54 years,West Virginia,231398
Hispanic or Latino,45-54 years,Wisconsin,697015
Hispanic or Latino,45-54 years,Wyoming,59379
Hispanic or Latino,55-64 years,Alabama,642792
Hispanic or Latino,55-64 years,Alaska,91060
Hispanic or Latino,55-64 years,Arizona,689344
